,需大于供,供大于需,相等且均不为0,（供大于需-需大于供）/total
'S282',3,212,25,0.870833333
'S395',1,65,8,0.864864865
'S178',0,38,7,0.844444444
'S201',2,25,1,0.821428571
'S005',4,91,12,0.813084112
'S221',0,100,23,0.81300813
'S372',0,8,2,0.8
'S329',14,204,22,0.791666667
'S348',11,164,19,0.788659794
'S229',13,202,25,0.7875
'S275',13,201,26,0.783333333
'S300',1,7,0,0.75
'S293',0,6,2,0.75
'S273',7,73,10,0.733333333
'S064',5,97,24,0.73015873
'S352',20,195,25,0.729166667
'S189',15,124,12,0.721854305
'S143',25,195,20,0.708333333
'S237',5,89,25,0.705882353
'S394',1,8,1,0.7
'S116',1,17,5,0.695652174
'S291',28,180,11,0.694063927
'S266',31,197,12,0.691666667
'S157',9,91,20,0.683333333
'S030',0,19,9,0.678571429
'S007',32,191,17,0.6625
'S114',32,183,14,0.659388646
'S089',1,17,7,0.64
'S075',11,90,24,0.632
'S066',12,93,27,0.613636364
'S332',0,28,18,0.608695652
'S381',1,18,9,0.607142857
'S204',1,4,0,0.6
'S307',4,105,62,0.590643275
'S127',3,17,4,0.583333333
'S250',1,8,3,0.583333333
'S122',2,20,9,0.580645161
'S292',17,69,4,0.577777778
'S026',0,8,6,0.571428571
'S115',19,88,14,0.570247934
'S227',3,20,7,0.566666667
'S150',49,183,8,0.558333333
'S217',4,15,1,0.55
'S053',0,17,14,0.548387097
'S123',46,175,19,0.5375
'S154',13,53,11,0.519480519
'S078',16,68,17,0.514851485
'S027',2,17,11,0.5
'S312',1,17,14,0.5
'S170',3,15,6,0.5
'S254',2,15,9,0.5
'S323',0,6,6,0.5
'S251',1,4,1,0.5
'S106',1,19,17,0.486486486
'S091',2,16,11,0.482758621
'S049',0,9,10,0.473684211
'S015',0,7,8,0.466666667
'S096',3,16,9,0.464285714
'S152',27,83,14,0.451612903
'S336',1,15,15,0.451612903
'S196',0,9,11,0.45
'S087',2,14,11,0.444444444
'S099',3,14,8,0.44
'S052',1,12,12,0.44
'S370',1,12,12,0.44
'S274',3,17,12,0.4375
'S022',3,10,3,0.4375
'S014',0,7,9,0.4375
'S012',2,7,3,0.416666667
'S093',2,7,3,0.416666667
'S208',23,60,7,0.411111111
'S159',9,28,10,0.404255319
'S062',1,3,1,0.4
'S304',5,40,43,0.397727273
'S187',3,13,10,0.384615385
'S318',4,41,54,0.373737374
'S296',2,14,17,0.363636364
'S337',1,9,12,0.363636364
'S021',3,18,21,0.357142857
'S132',1,11,16,0.357142857
'S289',2,7,5,0.357142857
'S128',4,22,25,0.352941176
'S121',2,11,13,0.346153846
'S255',2,8,8,0.333333333
'S119',1,4,4,0.333333333
'S144',0,1,2,0.333333333
'S002',7,30,34,0.323943662
'S017',4,12,9,0.32
'S109',1,7,11,0.315789474
'S242',4,13,12,0.310344828
'S288',2,6,5,0.307692308
'S203',0,7,16,0.304347826
'S158',2,8,10,0.3
'S219',1,8,16,0.28
'S269',12,52,79,0.27972028
'S043',3,8,7,0.277777778
'S309',2,7,9,0.277777778
'S181',5,9,2,0.25
'S042',6,12,7,0.24
'S104',6,12,7,0.24
'S226',8,16,10,0.235294118
'S195',3,7,7,0.235294118
'S016',1,5,11,0.235294118
'S185',6,12,8,0.230769231
'S341',6,12,9,0.222222222
'S209',8,16,13,0.216216216
'S083',2,5,7,0.214285714
'S363',3,7,9,0.210526316
'S350',3,7,10,0.2
'S051',3,6,6,0.2
'S163',10,19,17,0.195652174
'S184',4,9,13,0.192307692
'S354',6,10,7,0.173913043
'S167',7,11,10,0.142857143
'S373',3,5,7,0.133333333
'S302',8,11,6,0.12
'S082',7,10,10,0.111111111
'S205',9,12,9,0.1
'S101',8,10,7,0.08
'S097',8,10,12,0.066666667
'S281',2,3,10,0.066666667
'S285',5,6,8,0.052631579
'S155',4,5,10,0.052631579
'S317',4,5,12,0.047619048
'S102',18,20,12,0.04
'S278',8,9,9,0.038461538
'S243',8,9,10,0.037037037
'S145',6,7,15,0.035714286
'S211',2,3,49,0.018518519
'S130',9,9,10,0
'S038',7,7,8,0
'S165',7,7,49,0
'S156',5,5,6,0
'S396',5,5,15,0
'S056',4,4,9,0
'S072',4,4,9,0
'S065',10,8,46,-0.03125
'S265',11,9,39,-0.033898305
'S046',36,30,74,-0.042857143
'S035',13,8,34,-0.090909091
'S198',9,7,6,-0.090909091
'S295',7,0,49,-0.125
'S071',6,4,2,-0.166666667
'S299',15,0,47,-0.241935484
'S148',13,6,8,-0.259259259
'S283',8,4,2,-0.285714286
